"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"A2M-AS1"	-0.569	-0.868	-0.73	-0.012	-0.019	1.66	-0.377	-0.066	-1.078	-0.95	0.301	0.516	-0.588
"A4GALT"	-1.04	-0.693	-1.04	0.564	0.701	0.773	0.136	0.715	-1.037	0.491	2.503	-2.429	-1.578
"AACS"	0.853	0.415	-0.009	0.154	-0.476	-0.245	-1.468	0.846	0.445	0.736	1.104	-2.277	-0.255
"AADACP1"	-0.602	0.007	-0.254	0.029	0.06	0.151	0.07	0.145	0.114	1.345	0.653	-0.066	-0.915
"AADAT"	-0.52	0.018	-0.693	0.04	-0.444	0.449	0.246	-2.143	-0.518	-0.639	-0.309	0.471	-0.768
"AAK1"	-0.663	0.001	-0.066	0.652	-0.63	2.553	-0.821	0.388	-0.466	-0.079	0.369	0.311	-0.978
"AASDH"	-0.536	-0.396	-0.035	0.212	-0.357	0.253	0.788	-0.106	-0.072	0.026	0.725	-0.305	-0.579
"AASS"	-1.551	-1.15	-2.558	-0.326	-0.913	0.211	1.401	-1.52	-2.016	-1.873	-1.415	-0.524	-2.014
"AATK"	-0.834	-0.72	-0.621	0.325	0.483	0.753	-1.17	-0.177	-2.564	-3.024	-0.872	0.873	-1.456
"ABAT"	0.541	-0.538	1.115	-0.577	-2.139	2.91	0.889	-0.872	-0.332	-0.771	-1.271	-0.718	0.284
"ABCA1"	-2.953	-1.208	-1.242	0.965	1.436	2.237	2.736	-0.674	-0.974	-0.578	1.103	-0.718	-0.034
"ABCA10"	-1.429	-0.426	-3.431	0.011	0.072	0.5	-1.472	-0.936	-2.254	-2.24	-0.718	-2.765	-3.129
"ABCA5"	-1.141	-0.502	-1.863	-0.479	-0.232	1.48	-2.116	-0.694	-1.193	-0.66	-1.512	-2.138	-1.214
"ABCA6"	-1.994	-2.339	-3.227	-0.225	-0.757	0.19	-0.106	-0.56	-2.626	-2.959	0.538	-2.819	-3.436
"ABCA8"	-2.308	-3.182	-4.025	-1.293	-1.46	-3.572	0.706	-1.7	-3.574	-4.179	0.245	-2.605	-2.971
"ABCA9"	-1.702	-1.968	-3.732	-0.103	-0.429	0.458	-1.196	-1.389	-2.52	-2.679	-0.195	-2.557	-3.366
"ABCB1"	-1.874	-1.421	-1.691	-0.213	-1.429	1.458	0.306	0.735	-0.965	-1.314	1.775	-0.182	-0.969
"ABCB10"	-0.868	-0.224	0.318	0.221	0.252	-0.049	0.366	0.604	0.034	0.029	1.085	0.184	-0.567
"ABCB7"	-0.568	-0.424	-0.088	0.034	0.253	0.023	1.354	0.208	-0.156	-0.26	1.016	-0.255	-0.184
"ABCB9"	0.58	0.741	0.272	0.772	-0.087	-0.312	-1.154	0.399	0.609	0.673	1.294	0.796	-0.057
"ABCC3"	-2.903	0.021	-0.822	0.387	2.468	0.697	-0.224	-0.915	1.403	-1.143	0.959	-3.443	0.183
"ABCC5"	-0.815	-0.167	0.534	0.908	-0.786	-0.31	-0.784	0.361	-0.321	2.122	1.056	0.296	-2.063
"ABCC6P1"	-0.951	-0.013	-0.31	-0.021	0.235	-0.013	0.588	-0.009	0.399	-1.278	-0.552	-0.124	1.65
"ABCC6P2"	1.011	-0.038	-0.095	-0.046	0.288	-0.214	1.138	1.071	0.569	-0.842	0.303	-0.04	2.023
"ABCC8"	-0.817	-0.713	0.343	-0.151	-0.265	-0.083	-1.458	-0.012	-2.707	-3.017	0.071	-0.618	-2.233
"ABCC9"	-0.89	-1.854	-1.668	0.037	0.13	-0.201	0.548	-1.268	-1.168	-1.593	0.602	-1.075	-1.785
"ABCD3"	-0.578	0.127	0.928	-0.59	-0.933	0.215	1.438	-0.08	0.184	-0.341	0.888	-0.419	0.187
"ABCD4"	-0.861	-0.018	-1.105	0.368	0.164	1.443	0.72	-0.067	-0.781	-1.051	1.072	-0.516	-0.933
"ABCF3"	-0.529	0.44	0.162	0.807	-0.051	0.255	0.037	0.098	-0.341	0.511	0.53	0.052	-0.766
"ABCG1"	-1.958	-0.226	0.568	1.008	1.516	2.805	1.866	0.783	-1.115	-0.777	2.998	-1.238	-0.002
"ABHD11"	0.548	0.728	0.932	0.01	-0.273	-1.37	-0.022	0.446	1.06	0.513	0.974	-0.243	-0.407
"ABHD11-AS1"	0.536	0.621	0.399	-0.933	1.236	0.138	0.098	0.124	0.938	-0.818	2.436	0.465	1.598
"ABHD12"	0.512	0.831	0.935	0.221	0.236	0.796	-0.021	1.488	0.519	0.21	0.466	0.544	-0.015
"ABHD14B"	-0.721	-0.32	-0.426	-0.569	-0.907	-0.384	0.832	0.088	-0.02	-0.685	1.028	0.72	0.422
"ABHD5"	-0.842	-0.074	-0.332	-0.6	-0.727	-1.394	1.65	0.238	-0.622	-0.563	0.75	-1.702	-0.101
"ABI1"	-0.61	-0.166	0.346	0.07	-0.029	0.359	1.229	0.639	0.074	0.6	1.883	-0.359	0.239
"ABI3"	-0.703	-0.476	0.09	0.485	1.3	2.643	2.195	0.478	-0.858	-1.327	2.217	0.835	-0.245
"ABI3BP"	-1.736	-3.498	-2.112	-1.322	0.799	0.397	2.996	-0.579	-3.012	-3.792	1.984	-2.369	-2.557
"ABLIM1"	-4.102	-1.484	-1.394	-0.876	-0.777	3.14	0.838	-0.123	-0.821	-0.524	1.796	-3.768	-1.116
"ABLIM3"	-1.131	-1.175	-2.162	-0.976	2.05	-0.103	0.467	-1.478	-2.55	-3.18	2.963	-0.323	-2.177
"ABO"	-1.953	-0.738	-1.207	-0.973	-1.215	-2.243	-0.393	-0.014	-0.17	-0.85	0.568	-1.715	-1.336
"ABR"	-0.904	-0.77	-0.574	-0.386	0.231	4.897	-0.611	-0.146	-1.261	-1.805	2.086	0.166	0.109
"ABRACL"	1.602	1.15	1.559	0.512	0.011	4.435	-0.992	-0.498	0.85	1.657	2.799	0.967	0.763
"ABT1"	0.581	0.525	0.32	0.408	0.467	-1.257	0.806	0.913	0.497	0.74	1.371	0.384	0.237
"ABTB1"	-1.351	-0.878	-1.543	0.974	0.193	3.293	-1.927	0.17	-1.791	-1.975	1.282	-1.117	-1.31
"ABTB2"	-0.577	-0.148	-0.088	0.239	-1.675	1.685	0.747	-0.015	-0.042	-0.13	1.63	0.426	1.147
"AC000078.5"	-0.676	-0.156	-0.507	0.054	0.186	1.373	-0.133	-0.162	-0.688	-0.847	-0.163	-0.879	-0.859
"AC000089.3"	1.439	0.117	0.243	-0.148	0.119	0.774	1.587	0.936	1.338	0.899	1.36	0.996	1.399
"AC000123.3"	-0.603	0.188	-0.41	0.456	0.647	0.079	0.342	-0.113	-1.262	-1.54	0.339	-0.905	-1.179
"AC000123.4"	-0.608	-0.057	-0.352	0.334	0.441	0.107	0.241	-0.221	-1.192	-1.395	0.142	-0.88	-1.036
"AC004538.3"	-0.809	-0.189	-0.737	0.105	-0.118	0.322	0.038	-1.415	-0.154	-0.337	0.408	-0.373	-0.338
"AC005062.2"	-1.217	-1.146	-0.911	-0.477	-0.09	0.744	0.428	0.449	-0.482	-0.999	0.75	-0.899	-0.477
"AC005076.5"	0.765	0.208	0.006	0.325	-0.258	-0.856	0.485	0.289	-0.216	0.189	0.257	0.697	0.087
"AC005077.14"	-0.682	-0.159	0.446	-0.44	-0.069	-0.515	-0.242	-2.348	0.465	0.257	0.406	-0.482	-0.698
"AC005104.3"	-1.279	-0.023	-1.067	0.292	0.412	0.903	-0.2	-0.898	-1.621	-1.672	-0.852	-1.595	-1.97
"AC005154.6"	-1.422	0.159	-1.176	0.698	0.659	1.906	-0.574	-0.641	-1.827	-1.94	0.122	-1.135	-1.701
"AC005154.7"	-1.166	-0.249	-1.031	0.052	0.27	2.076	-0.547	-0.355	-1.363	-1.572	-0.255	-0.99	-1.575
"AC005253.2"	-0.882	-0.007	-0.966	0.355	0.505	-0.012	-0.255	-0.533	-1.491	-1.389	-0.407	-1.221	-1.81
"AC005255.3"	1.887	1.234	1.9	0.484	0.076	-0.197	2.521	2.154	2.916	2.635	2.761	2.433	1.013
"AC005329.7"	0.542	-0.033	0.101	0.233	0.055	1.009	1.081	0.017	-0.044	0.068	-0.324	0.009	-1.271
"AC005339.2"	0.902	1.453	0.793	1.254	0.564	-0.871	-2.152	0.305	-0.233	-0.214	2.173	0.016	-0.368
"AC005517.3"	-1.461	-0.423	-0.884	0.087	0.24	1.237	-0.797	-0.297	-0.709	-0.968	-0.811	-1.362	-1.582
"AC005519.4"	-1.213	0.16	-1.48	0.172	0.357	2.069	-0.275	-0.616	-1.404	-1.489	-0.391	-1.431	-2.17
"AC005523.2"	0.838	0.234	0.88	-0.134	0.14	-0.027	0.869	0.701	0.412	0.929	0.925	-0.258	0.68
"AC005682.5"	-0.613	-0.545	-1.855	0.809	0.61	1.631	0.091	-0.101	-1.004	-0.194	-0.768	-0.803	-1.085
"AC005785.2"	-0.684	0.037	-0.273	0.038	0.23	0.919	-0.652	-0.264	-0.517	-0.481	-0.066	-0.469	-1.042
"AC005785.5"	-0.892	-0.147	-0.425	0.073	0.259	2.044	-0.415	-0.267	-0.634	-0.649	-0.477	-0.866	-1.229
"AC005943.2"	-1.253	0.423	1.722	-0.889	0.923	-0.289	2.787	1.251	1.207	0.587	2.376	2.541	0.926
"AC005944.2"	1.993	-0.588	-0.441	0.258	-0.011	-2.38	-1.718	0.589	-0.202	-1.376	2.619	-1.287	0.388
"AC006011.4"	0.886	1.163	0.586	1.025	0.868	-0.036	0.588	0.599	0.631	1.148	1.498	0.773	0.015
"AC006116.24"	-0.855	-0.336	-0.451	-0.056	-0.16	0.858	-0.036	-0.338	-0.479	-0.64	-0.214	-0.379	-1.196
"AC006116.27"	-1.508	-1.07	-0.061	-0.442	-0.839	-0.936	0.503	-0.238	-0.31	-0.667	0.189	0.055	-0.759
"AC006128.2"	-1.665	0.527	-1.719	0.538	0.869	0.919	-0.686	-1.902	-2.126	-2.136	-0.848	-2.166	-3.126
"AC006449.2"	-1.667	-0.92	-0.583	-0.228	-0.346	-3.18	0.103	0.153	-0.591	-1.145	0.522	-0.85	-0.504
"AC006547.13"	-1.025	-0.492	-0.369	0.533	0.011	0.649	-0.538	-0.376	-1.151	-1.186	0.338	-0.298	-1.299
"AC007229.3"	0.865	0.034	0.501	0.292	0.259	0.898	1.257	0.605	0.756	0.964	1.183	0.966	0.668
"AC007246.3"	-0.662	0.035	-0.262	-0.109	-0.627	-1.718	-1.219	0.435	-0.342	-0.627	0.771	0.419	-0.644
"AC007283.5"	1.876	0.408	0.108	0.547	1.254	-0.609	0.329	0.552	-0.2	-0.916	2.705	0.427	1.157
"AC007318.5"	0.835	-0.088	0.174	-0.106	-0.143	-1.468	1.316	1.126	0.56	0.892	1.441	0.576	0.557
"AC007326.1"	-2.189	0.126	-0.626	0.88	0.918	0.074	-0.908	-0.338	-1.294	-1.763	0.635	-1.616	-2.519
"AC007566.10"	-1.264	-0.248	-1.316	0.045	0.508	1.65	-0.013	-0.756	-1.844	-2.055	-0.581	-1.527	-1.757
"AC007952.5"	-0.73	-0.222	-0.315	0.146	0.488	2.594	-0.079	-0.148	-0.659	-1.216	0.399	-0.131	-1.037
"AC008993.2"	-1.035	-0.048	-0.3	0.161	0.269	1.117	0.065	-0.196	-0.394	-0.474	-0.269	-0.866	-1.123
"AC009120.3"	-1.092	-0.325	-0.603	0.155	0.483	2.614	-0.208	-0.226	-0.725	-0.811	-0.181	-0.91	-1.585
"AC009120.5"	-0.908	-0.243	-0.418	0.085	0.297	2.93	0.047	-0.091	-0.51	-0.572	-0.178	-0.632	-1.232
"AC009120.6"	-0.871	-0.254	-1.179	0.584	0.765	2.322	-0.312	-1.148	-1.396	-1.446	0.227	-2.015	-2.151
"AC009403.2"	-0.865	0.256	-0.144	0.422	-0.149	-1.198	0.21	0.503	0.027	0.048	0.274	1.057	-0.457
"AC009501.4"	-0.678	-0.031	-0.694	-0.378	0.455	0.498	-0.74	-0.635	-0.465	0.22	0.009	-1.283	-0.894
"AC009950.1"	-0.899	-1.051	0.136	0.465	0.08	-1.245	0.288	0.057	-0.426	-0.514	-0.124	0.696	0.017
"AC009950.2"	-0.637	-0.294	-0.456	0.399	0.49	3.403	0.229	-0.353	-0.787	-1.141	0.193	-0.449	-0.816
"AC010226.4"	-0.596	-1.204	-0.888	-0.328	0.644	0.536	-0.465	0.269	-0.61	-0.872	-0.284	-0.66	-1
"AC010761.13"	-0.696	-0.083	-0.375	0.054	0.181	1.471	0.227	-0.081	-0.357	-0.469	-0.51	-0.827	-0.612
"AC010761.8"	-0.934	0.158	-0.515	0.241	0.311	0.638	0.169	-0.297	-0.887	-0.9	-0.104	-1.437	-1.079
"AC010761.9"	-0.558	0.531	-0.322	0.379	0.09	0.114	0.055	-0.931	-0.635	-0.973	0.121	-0.628	-1.791
"AC010883.5"	-0.979	-0.028	-0.816	0.151	0.182	0.968	0.761	0.046	-0.682	-0.639	0.306	-1.059	-1.796
"AC010976.2"	-0.801	0.169	-0.814	0.181	0.25	1.71	-0.527	-0.869	-1.093	-1.109	-0.008	-1.253	-1.651
"AC010980.2"	-1.164	-0.109	-0.265	0.218	-0.301	0.275	-1.603	-0.043	-0.243	0.447	0.179	-0.069	-1.955
"AC011290.5"	-0.598	0.29	-0.128	0.23	0.274	-0.232	-0.161	-0.395	-0.338	-0.459	-0.034	-0.168	-1.41
"AC011737.2"	1.122	-0.242	0.153	-0.033	0.711	0.211	1.769	0.962	0.898	0.449	0.852	0.038	1.05
"AC012065.1"	1.451	0.008	0.373	-0.022	0.309	-0.298	0.928	0.43	0.653	0.686	0.777	0.994	0.737
"AC012314.8"	-1.401	0.074	-0.117	0.073	0.104	0.475	-0.013	-0.458	-0.315	-0.3	-0.851	-0.681	-0.871
"AC012358.8"	-0.569	-0.519	-0.582	-0.051	-0.153	2.807	0.088	0.083	-0.272	-0.328	-0.742	-0.67	-0.26
"AC013271.3"	-0.871	-0.742	-0.696	0.107	-0.415	0.433	-0.364	0.482	-0.257	-0.607	0.313	-0.338	-0.767
"AC013463.2"	-1.172	0.049	-0.275	0.057	-2.832	-0.232	-0.022	0.093	-0.056	0.189	-0.418	-0.196	0.1
"AC015849.19"	-1.149	-0.033	-0.822	0.13	0.222	0.128	-0.031	-0.279	-0.895	-1.097	-0.606	-1.66	-1.245
"AC016292.3"	1.091	0.235	0.888	0.083	-0.267	0.598	1.399	1.085	1.021	1.295	0.923	1.284	0.758
"AC016700.5"	-0.592	0.274	0.184	0.153	-0.378	-0.146	1.353	0.266	0.443	0.508	0.138	0.573	0.216
"AC016722.4"	-0.974	-0.063	-0.351	0.034	0.094	0.746	-0.012	-0.238	-0.546	-0.601	-0.802	-0.35	-1.091
"AC016734.2"	1.019	0.172	0.425	0.275	0.48	-0.501	0.488	0.293	0.409	0.269	0.248	0.581	0.06
"AC016739.2"	1.025	0.278	0.345	0.088	0.417	-0.111	1.668	1.267	0.482	0.601	1.47	-0.31	0.254
"AC016757.3"	-0.689	-0.769	-0.485	0.083	-0.592	-0.367	-1.323	-0.087	-0.521	-0.494	-0.973	1.312	-0.283
"AC017074.2"	-0.831	0.12	0.139	0.071	-0.143	-0.068	0.084	-0.06	0.077	-0.152	0.2	-0.259	-0.372
"AC018755.16"	-0.58	0.241	-0.086	-0.013	-0.271	-0.544	-0.204	-0.213	-0.221	-0.29	-0.614	0.009	-0.549
"AC022007.5"	-0.585	0.051	-0.924	-0.148	-0.777	-0.529	-0.217	0.354	0.124	-0.565	0.417	0.333	-0.925
"AC022210.2"	-0.589	-0.169	-0.422	0.134	0.16	-0.776	-0.011	-0.111	-0.435	-0.409	-0.806	-1.116	-0.53
"AC024560.3"	-1.368	-0.024	-1.09	0.678	0.075	-0.148	-0.296	-0.644	-1.698	-0.782	0.016	-1.68	-2.513
"AC024592.12"	0.659	-0.104	0.315	-0.219	-0.082	-0.656	0.885	0.427	0.342	0.384	0.727	0.467	0.554
"AC024937.6"	-0.674	0.522	-0.413	0.183	0.468	-0.236	0.085	-0.166	-0.281	0.129	0.13	-0.731	-1.132
"AC025165.8"	-0.691	-0.462	-1.115	0.056	-0.1	-0.884	-0.759	-0.122	-1.013	-0.933	-0.166	-0.617	-0.937
"AC026150.8"	-0.803	-1.152	-0.992	-0.208	0.216	3.969	-0.224	-0.327	-0.756	-0.91	-0.435	-0.776	-1.361
"AC027601.1"	-0.568	0.089	-0.5	0.142	0.172	1.084	-0.1	-0.319	-0.777	-0.752	-0.158	-0.612	-1.164
"AC034220.3"	-0.806	-0.405	-0.429	-0.007	0.214	-0.556	-0.142	-0.512	-0.874	-0.969	-0.21	-0.941	-1.515
"AC058791.1"	-0.642	-0.289	-0.474	0.063	-0.013	1.606	-1.52	-0.13	-0.759	-1.018	0.186	0.12	-0.561
"AC062017.1"	-0.825	-0.354	-0.829	0.06	-0.183	-0.671	0.06	0.156	-0.483	-0.445	0.283	-0.291	-0.339
"AC064875.2"	-1.111	-0.035	-0.261	-0.042	-0.117	-0.029	-0.345	0.014	-0.121	-0.126	0.16	1.521	-0.093
"AC068580.6"	-1.08	-0.2	-0.114	0.235	0.327	0.596	-0.091	-0.074	-1.433	-1.846	0.733	-0.869	-0.45
"AC068831.15"	0.668	0.874	-0.922	0.682	0.806	0.727	-1.534	-0.333	-1.448	-1.78	-0.094	-0.195	-0.771
"AC069213.1"	-0.655	0.086	-0.732	-0.993	-1.14	0.542	-0.223	-0.679	0.705	0.392	0.821	-1.628	-0.97
"AC073072.7"	0.757	0.19	0.333	0.016	0.081	0.401	0.31	0.333	0.485	0.401	0.401	0.433	0.411
"AC074117.10"	-1.078	0.51	-0.183	0.959	-0.147	0.06	0.254	-0.47	-0.626	-0.334	-0.039	-0.25	-1.409
"AC074212.5"	0.752	0.173	0.117	0.681	-0.353	-0.968	0.187	0.711	0.066	-0.318	-0.144	0.57	-1.084
"AC074212.6"	-0.926	-0.038	-0.482	0.041	-0.813	-0.627	-0.129	0.08	-0.617	-0.922	-1.17	-0.205	-1.494
"AC074289.1"	-1.28	-0.251	-1.845	0.086	0.661	0.434	0.869	-0.675	-1.822	-1.162	0.703	-0.658	-0.915
"AC079250.1"	1.209	-0.095	0.011	0.118	0.692	0.213	0.954	0.437	0.418	0.643	0.419	0.034	0.181
"AC079922.2"	1.036	0.323	0.294	0.124	0.575	0.826	1.018	0.646	0.829	0.782	0.672	0.841	0.806
"AC090616.2"	-1.057	0.077	0.042	-0.205	-0.412	-0.896	-0.175	-0.012	-1.264	-1.901	0.048	-0.367	0.027
"AC092301.3"	-0.506	0.043	-0.312	0.081	0.104	1.459	-0.069	-0.23	-0.644	-0.62	-0.123	-0.602	-1.026
"AC093110.3"	-2.18	-0.379	-2.206	0.12	0.406	1.144	-0.538	-0.705	-2.991	-3.21	-0.006	-1.501	-2.247
"AC093495.4"	-1.047	0.311	-1.257	0.182	0.493	1.748	-0.283	-0.933	-1.667	-2.113	-0.603	-2.369	-1.943
"AC093627.10"	-0.577	-1.483	-0.135	-0.326	-0.427	2.919	-0.152	-0.065	0.19	-0.399	0.806	0.271	0.135
"AC093642.3"	-1.198	-0.632	0.032	0.013	0.327	1.187	-0.285	-0.573	-0.777	-1.003	-2.958	-1.39	-2.88
"AC093642.5"	-1.03	-0.775	-0.159	0.073	-0.147	0.648	0.424	0.03	-0.545	-0.612	-0.308	-0.447	-0.831
"AC093838.4"	-1	0.174	-0.727	0.742	0.698	-0.581	-0.698	-0.882	-1.196	-1.122	0.241	-1.712	-1.935
"AC096772.6"	-1.027	-0.432	-0.933	0.437	0.098	2.01	-0.655	-0.15	-0.743	-0.938	0.581	-0.495	-0.425
"AC108488.4"	-0.692	-0.962	-0.881	0.476	0.183	-2.224	0.398	-0.161	-1.187	-1.304	0.571	0.452	-1.485
"AC112497.1"	1.075	0.337	0.607	0.489	0.433	1.438	0.984	0.277	0.242	0.374	1.338	1.317	-0.008
"AC114730.11"	-0.758	0.038	-0.897	0.119	0.158	0.723	-0.266	-0.728	-1.2	-1.201	-1.041	-1.365	-2.305
"AC116366.6"	-0.713	-0.176	-0.579	0.057	0.391	2.705	0.109	-0.292	-1.423	-1.677	-0.017	-0.715	-1.477
"AC125232.1"	-0.716	-0.226	-0.791	0.211	0.416	1.355	0.794	-0.138	-0.588	-0.124	0.42	-1.41	-0.518
"AC129492.1"	-1.585	-0.075	-1.091	0.231	-0.166	0.056	-0.086	-0.373	-1.073	-0.734	-1.086	-0.606	-1.077
"AC132217.4"	6.822	0.257	-2.313	0.544	-2.112	-0.014	0.956	-4.049	-1.201	-1.255	2.375	-1.771	-2.175
"AC135048.13"	0.678	0.03	0.49	0.611	0.251	1.184	1.084	-0.266	-0.028	0.52	0.798	1.033	0.548
"AC137934.1"	-1.509	-0.379	-0.278	0.146	0.135	-3.461	-0.211	-0.582	-0.951	-1.276	-0.925	-0.834	-1.483
"AC138035.2"	-2.209	-0.401	-1.274	0.425	0.136	-0.114	-0.453	-1.481	-2.006	-2	-0.971	-2.127	-2.494
"AC142472.6"	-0.628	-0.076	-0.532	0.066	-0.046	1.164	0.663	0.232	-0.555	-0.491	0.157	-0.765	-0.906
"AC144652.1"	0.821	0.38	-0.116	0.211	-0.151	-2.299	0.31	-0.13	-0.11	0.323	0.41	0.071	-0.133
"AC144831.1"	-0.51	-0.457	-0.831	-0.711	-1.455	0.517	0.115	-0.079	-1.355	-1.414	0.268	-2.078	-0.377
"AC159540.1"	-1.007	-0.184	0.182	0.816	1.693	5.446	-1.695	-0.159	-1.074	-1.577	0.494	-1.212	-1.872
"AC239868.2"	0.945	5.197	2.721	1.18	1.029	-4.822	1.754	2.017	1.605	1.304	4.436	0.713	1.504
"AC239868.3"	0.945	5.195	2.713	1.173	1.029	-4.861	1.754	2.017	1.567	1.297	4.436	0.713	1.504
"ACAA1"	-0.764	0.228	-0.057	-0.575	-1.092	-0.048	0.576	-0.959	-0.548	-1.138	0.5	0.158	0.06
"ACAA2"	-2.063	-0.614	-0.71	-0.15	-0.257	0.253	-0.605	-0.877	-0.457	-1.191	1.194	0.674	0.352
"ACACA"	-1.004	-0.163	0.478	0.418	-0.412	-1.046	0.201	0.392	0.243	0.403	1.296	0.032	-0.304
"ACACB"	-1.199	-3.271	-4.028	-0.704	-0.758	1.881	-0.753	-1.378	-1.925	-2.236	-0.649	-1.709	-2.884
"ACAD10"	-0.791	0.188	-0.074	0.258	-0.621	1.511	0.814	0.037	-0.038	-0.209	0.179	-0.425	-0.907
"ACAD11"	-1.641	-0.134	-1.582	0.489	1.667	1.424	0.288	-1.607	-1.794	-1.435	-0.791	-1.558	-1.647
"ACAD8"	-1.152	-0.227	-0.639	-0.569	-1.032	0.032	0.41	-0.461	-0.151	-1.261	-0.498	-1.437	-0.828
"ACADL"	1.651	-0.361	-2.508	-0.543	0.659	-0.014	-0.353	-1.293	-2.794	-2.738	-3.435	-2.14	-1.662
"ACADM"	-1.26	-0.775	0.076	-0.777	-1.21	-0.748	0.554	-0.352	0.327	0.011	0.472	1.038	-0.294
"ACADVL"	-1.53	-0.068	-1.806	-0.402	0.462	0.372	-0.511	-1.26	-1.605	-1.923	-1.007	-1.459	-1.613
"ACAP3"	-1.101	0.006	-1.171	0.273	0.643	0.805	-0.568	-1.046	-1.525	-1.548	0.094	-2.551	-2.283
"ACAT1"	-0.569	-0.767	-0.426	-0.327	-1.237	-0.28	0.966	-0.55	-0.508	-0.936	-0.469	-0.402	-0.385
"ACAT2"	0.946	0.681	0.667	0.186	-0.5	-3.331	0.544	0.21	-0.462	0.683	1.787	-0.316	-0.197
"ACBD4"	-1.184	-0.564	-0.785	-0.124	0.399	0.357	-0.181	-0.525	-0.491	-1.504	0.143	-0.661	-0.615
"ACBD5"	-0.557	0.237	0.588	0.081	-0.66	1.121	1.188	0.353	0.452	0.117	1.82	-0.1	0.166
"ACCS"	-2.466	-0.795	-1.811	0.161	0.792	0.611	-0.585	-1.073	-1.566	-2.343	-0.324	-1.423	-1.932
"ACER2"	-0.701	-0.645	-0.629	0.172	0.244	-0.61	-0.293	-0.199	0.142	0.262	0.103	-0.913	0.204
"ACIN1"	-0.967	-0.016	-0.345	0.602	0.269	1.005	0.559	-0.226	-0.751	-0.843	0.618	-0.556	-1.187
"ACKR1"	-2.089	-3.55	-3.855	-2.082	1.384	0.154	-1.15	0.261	-3.351	-4.139	1.651	-3.698	-2.084
"ACKR2"	-0.593	-0.245	-0.965	-0.503	-0.836	0.057	0.358	-0.107	-0.409	-0.788	0.577	-0.965	-1.482
"ACKR3"	1.248	-1.375	-1.684	1.3	2.454	2.475	2.162	0.254	-1.057	1.748	0.432	-2.575	-1.712
"ACKR4"	-0.792	-1.424	-1.108	0.489	0.555	0.685	0.215	-0.17	-1.661	-1.703	1.35	-2.212	-0.403
"ACO1"	-1.321	-0.56	-1.085	0.186	-0.614	-1.007	0.99	-0.15	0.21	-0.435	0.374	0.353	0.52
"ACOT1"	-0.547	-0.92	-0.271	0.232	-0.837	0.875	-0.029	-0.079	-0.165	-0.789	1.275	0.552	0.124
"ACOT11"	-0.74	0.009	0.145	0.006	-2.212	2.929	-0.384	-0.024	0.82	0.807	1.719	0.381	-1.384
"ACOT13"	0.558	0.684	0.429	0.62	0.097	-2.016	0.053	0.184	0.801	0.674	1.646	0.784	0.557
"ACOT2"	-1.215	-0.887	-0.472	0.219	-0.841	2.86	0.57	-0.296	-0.22	-0.886	1.567	0.805	0.058
"ACOT7"	0.696	0.872	1.288	1.266	0.644	-1.851	-1.536	0.961	0.305	1.106	2.538	2.682	1.022
"ACOX1"	-0.833	0.489	-0.023	-0.464	-0.771	0.8	1.276	0.16	0.27	0.101	0.63	-0.852	0.327
"ACOX2"	-2.209	-2.687	-0.455	-0.935	-1.07	0.617	0.617	-0.503	0.022	-2.032	0.194	-1.875	-0.771
"ACP5"	-0.937	0.806	1.242	1.529	0.664	1.478	0.814	1.133	-0.848	-1.163	3.183	2.555	2.164
"ACP6"	-0.768	0.514	0.482	-0.581	-0.722	2.271	0.7	1.016	0.812	0.043	1.4	0.644	0.307
"ACRC"	-1.043	-0.092	-0.704	0.137	0.263	0.9	-0.483	-0.543	-1.234	-1.391	-0.404	-0.767	-0.701
"ACSBG1"	-1.211	-0.125	-0.103	-0.074	-0.026	-0.746	0.142	-0.128	-0.337	-0.308	0.052	-2.984	-0.261
"ACSF2"	-1.269	0.851	-0.327	0.304	-2.776	1.397	0.268	0.351	-0.318	-1.47	0.51	-2.118	-1.862
"ACSL1"	-0.764	-0.081	-2.099	-0.746	-0.613	0.82	0.343	-1.638	-1.82	-2.127	1.297	-2.284	-0.826
"ACSL5"	-1.051	-0.335	-1.178	0.246	0.545	4.096	0.071	-0.493	0.635	-2.277	4.093	-0.048	0.166
"ACSM3"	1.083	-0.598	-0.928	-0.82	-1.229	-3.602	0.098	-1.606	0.304	-1.574	-0.696	-1.292	0.269
"ACSM5"	-1.342	-0.662	-2.23	-0.171	1.374	0.021	1.391	-1.428	-1.086	-1.335	0.232	-1.248	-0.972
"ACTA1"	-1.629	-0.218	-1.123	-6.95	-0.053	-1.329	-2.022	-0.784	-2.311	-2.317	-1.287	-3.279	-2.185
"ACTA2"	-0.911	-3.77	-1.693	0.348	1.355	2.203	0.827	0.931	-1.634	-2.072	4.308	-1.57	-1.06
"ACTA2-AS1"	-1.497	-3.881	-3.699	0.086	0.347	1.266	-0.574	-0.473	-2.446	-2.707	0.936	-3.779	-2.173
"ACTB"	0.813	-0.362	0.485	0.502	0.677	0.515	1.226	0.955	0.065	-0.096	3.688	1.201	0.364
