"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"F3"	-1.36	-2.53	-2.662	0.29	-1.756	0.921	-0.239	-0.596	-0.673	-1.027	1.817	-4.243	-2.188
"FAAH"	-0.823	0.809	0.55	0.039	0.015	3.183	-0.793	-0.501	-0.189	-1.179	-0.225	-2.892	-1.868
"FAAH2"	1.697	0.188	0.989	-0.845	-0.619	0.187	-0.764	-0.512	1.164	0.163	0.319	-3.589	0.639
"FAAP24"	0.723	1.005	1.01	1.082	0.22	-1.035	0.652	0.725	0.794	1.451	1.172	1.125	0.362
"FABP3"	1.204	-0.633	-0.146	-1.627	-0.611	-0.093	-2.827	0.366	-0.4	-1.422	2.921	0.543	0.295
"FABP5"	0.845	-0.372	-1.798	0.463	1.997	1.058	-1.454	2.186	-1.5	0.993	1.614	-2.115	-1.357
"FABP5P7"	1.262	-0.218	-1.781	0.386	1.872	0.865	-1.439	1.801	-1.35	1.166	1.463	-2.086	-1.479
"FADS1"	-0.881	0.16	-0.105	2.094	0.335	-3.58	1.377	0.662	-0.366	-0.14	1.28	2.092	-0.555
"FADS3"	-0.567	-0.093	-2.125	2.129	1.008	-3.549	-0.555	0.35	-2.004	-2.2	0.142	0.88	-1.309
"FAHD1"	0.521	0.004	1.122	0.261	0.427	0.435	0.892	0.787	0.778	0.839	1.846	0.648	0.785
"FAHD2CP"	0.913	-0.758	-0.508	-0.045	-0.447	0.004	-0.324	0.765	0.027	-0.188	0.057	0.416	-1.378
"FAIM"	-0.667	0.355	0.199	0.594	-0.049	1.658	1.013	0.974	0.343	0.796	0.232	0.411	0.096
"FAIM2"	-1.445	-2.097	0.095	-0.653	-0.656	-0.39	-0.777	-0.013	-0.326	-0.635	1.281	-0.146	-0.748
"FAM102B"	-0.629	-1.143	0.764	0.258	0.803	-0.384	-0.374	0.39	-0.359	-0.147	2.003	1.392	-0.085
"FAM103A1"	1.082	0.564	0.827	0.332	0.18	-0.902	0.712	1.011	0.945	1.264	1.504	0.327	0.661
"FAM104B"	0.561	0.333	0.674	0.059	-0.525	0.067	0.965	0.74	0.277	0.513	1.434	0.36	-0.039
"FAM107B"	-0.712	-0.445	0.568	-0.205	-0.744	4.422	1.399	-0.054	0.527	-1.012	0.863	-0.849	-0.453
"FAM109A"	0.887	0.419	0.213	-0.055	0.327	-0.262	1.435	0.225	-0.427	-1.002	0.701	-1.293	0.447
"FAM109B"	-1.419	-0.127	0.422	0.497	-0.056	1.957	0.264	0.218	0.067	-0.267	1.088	1.019	-0.399
"FAM111A"	-1.399	0.361	0.055	1.033	0.435	2.202	1.089	-0.072	-0.981	-1.2	0.991	-0.279	-0.664
"FAM117A"	-0.509	-1.223	-0.505	0.333	-0.468	0.504	0.458	0.176	0.073	-0.026	0.318	-1.004	-0.151
"FAM117B"	-0.822	-0.037	0.27	-0.057	-0.504	1.49	0.567	0.127	0.458	1.16	1.058	-0.565	0.302
"FAM118A"	-1.081	-0.081	-0.505	0.631	0.564	-1.853	0.281	-0.391	-0.986	-0.545	1.021	-0.175	-1.948
"FAM118B"	-0.608	-0.236	0.109	0.177	-0.12	0.483	0.846	0.523	0.008	-0.168	2.112	0.756	0.004
"FAM124A"	-0.551	-1.072	-0.907	0.106	-0.969	0.461	0.152	-0.041	-0.91	-0.947	0.509	0.782	-1.36
"FAM126B"	-0.545	-0.217	-0.269	-0.046	-0.317	1.856	-0.359	-0.26	-0.564	-0.847	0.988	-0.864	-0.76
"FAM127B"	0.56	0.327	0.153	0.418	0.544	-1.771	0.537	1.053	0.23	0.4	2.031	0.658	0.073
"FAM129A"	-0.701	-3.122	-0.595	0.066	1.085	1.029	0.833	0.209	-0.415	-0.438	-0.751	0.039	0.117
"FAM129B"	-0.954	0.185	0.569	-0.669	0.227	-1.722	1.387	0.695	-0.376	-0.592	1.291	-0.118	-0.022
"FAM131C"	1.581	0.512	-0.084	0.352	0.103	-0.245	-0.777	0.027	0.119	1.246	0.106	-1.572	-0.565
"FAM13A"	-1.253	-0.819	-2.207	-0.13	0.672	-0.165	0.017	-1.986	-0.013	-1.222	-0.359	-2.18	-0.993
"FAM13A-AS1"	-1.075	-0.062	-1.557	0.243	0.887	2.433	-0.71	-0.759	-2.454	-2.644	-0.211	-2.923	-2.014
"FAM13B"	-0.96	-1.649	-0.293	-0.166	-0.042	1.367	0.153	-0.044	-0.818	-0.978	0.826	0.348	-0.6
"FAM13C"	-0.713	-1.227	-1.992	-0.539	0.123	0.028	0.893	0.425	-1.568	-1.85	0.629	-1.866	-1.489
"FAM149B1"	-0.527	-0.066	0.018	0.066	-0.095	0.435	0.327	0.58	-0.083	-0.412	1.041	-0.339	-0.314
